text,source,datetime,location,user_id
It was okay.,Facebook,2024-10-04 11:32:20,"North Judithbury, Iowa, Burundi",UID46048
Loved the experience.,Google,2024-12-18 20:34:40,"Lake Joyside, Colorado, Namibia",UID23434
No complaints.,Facebook,2024-04-18 12:57:08,"North Claytonbury, North Carolina, Netherlands Antilles",UID87397
Very disappointed.,Facebook,2023-06-16 10:25:32,"Lake Debra, Ohio, Italy",UID22280
Loved the experience.,Email,2023-11-14 01:04:13,"Lawrencetown, Wisconsin, Sri Lanka",UID88907
Excellent customer support!,Google,2023-09-27 20:01:29,"Petersonberg, Indiana, Serbia",UID95181
No complaints.,Mobile App,2024-02-12 06:20:11,"North Noahstad, Minnesota, Netherlands Antilles",UID38893
I want a refund.,Website,2023-12-18 06:47:08,"Lake Stephenville, Missouri, Belgium",UID10851
Very satisfied with the product.,Website,2024-07-28 14:32:33,"Mariastad, Oregon, Congo",UID46421
Loved the experience.,Phone Call,2024-11-24 01:55:49,"North Donnaport, Colorado, Timor-Leste",UID54118
Great service!,Mobile App,2023-11-23 15:17:45,"South Joshuastad, Hawaii, Heard Island and McDonald Islands",UID22676
Not worth the money.,Email,2024-02-26 18:29:07,"Lake Joseph, Utah, Oman",UID44671
Very satisfied with the product.,Email,2023-07-21 06:47:55,"New Jessica, Hawaii, Kyrgyz Republic",UID26361
Very disappointed.,Email,2024-03-16 13:19:17,"Veronicaside, Iowa, Poland",UID48427
No complaints.,Phone Call,2024-02-02 16:49:39,"East Lydiamouth, Montana, Ethiopia",UID57400
Nothing special.,Chatbot,2023-07-17 05:36:16,"New Nancy, Massachusetts, Croatia",UID19116
Loved the experience.,Phone Call,2024-10-16 22:01:18,"Fostermouth, Georgia, Estonia",UID47930
Loved the experience.,Phone Call,2023-09-12 06:39:26,"Lake Anna, Kentucky, San Marino",UID23238
Not worth the money.,Mobile App,2024-08-22 21:13:55,"Hurstfurt, Mississippi, Cyprus",UID93320
Terrible experience.,Website,2023-09-11 06:27:00,"Daviston, Delaware, Cape Verde",UID56566
Will recommend to others.,Chatbot,2024-09-25 04:12:05,"Port Erin, Rhode Island, Bahrain",UID99593
It was okay.,Email,2024-03-20 16:20:31,"Carlsonmouth, North Dakota, El Salvador",UID93227
Excellent customer support!,Chatbot,2024-07-29 12:38:15,"Lake Jenniferside, Wisconsin, Ethiopia",UID42087
Very satisfied with the product.,Mobile App,2025-01-12 19:28:41,"Danielchester, Hawaii, Korea",UID45382
No complaints.,Google,2023-05-29 08:15:23,"Teresaburgh, North Carolina, United States Minor Outlying Islands",UID99733
Very disappointed.,Google,2023-08-17 11:24:03,"Meaganhaven, Rhode Island, Congo",UID14207
Customer support was unhelpful.,Website,2023-09-22 12:53:23,"Kathrynside, Wyoming, Uzbekistan",UID18675
Excellent customer support!,Chatbot,2024-07-11 18:16:06,"New Mariotown, Delaware, Vanuatu",UID51245
Very satisfied with the product.,Mobile App,2024-03-03 18:12:40,"Johnbury, Oregon, Yemen",UID94259
Terrible experience.,Website,2023-07-26 23:53:50,"Lake Toddland, Wisconsin, Marshall Islands",UID28301
Excellent customer support!,Email,2025-01-10 15:56:52,"East Donna, Oklahoma, Chad",UID44438
No complaints.,Mobile App,2023-12-18 16:46:23,"Brandtside, Wisconsin, Saint Lucia",UID86484
Not worth the money.,Google,2024-11-12 15:49:27,"Lake Larry, Texas, Pakistan",UID28131
Product matches the description.,Facebook,2024-03-11 20:49:19,"Lammouth, Delaware, Egypt",UID16175
Loved the experience.,Chatbot,2023-11-17 08:25:17,"West Andrewside, Iowa, Myanmar",UID30969
Product matches the description.,Email,2023-11-13 20:54:32,"North Jeanton, Iowa, Bangladesh",UID18326
Customer support was unhelpful.,Email,2025-04-29 02:00:42,"Port Markhaven, Kansas, Fiji",UID71348
Average experience.,Email,2024-10-27 10:24:32,"Lewisberg, Washington, Vietnam",UID11504
It was okay.,Chatbot,2025-04-11 04:34:19,"Sanchezfort, Nebraska, Comoros",UID80381
Not worth the money.,Facebook,2023-08-08 02:07:11,"Lake Ryanchester, Nebraska, Lao People's Democratic Republic",UID48469
Terrible experience.,Mobile App,2025-03-27 18:50:36,"Lake Deniseville, Arkansas, Iraq",UID10425
Average experience.,Email,2024-12-12 10:38:40,"Laurenville, Kansas, Congo",UID33416
It was okay.,Phone Call,2023-10-21 13:30:37,"Taylorburgh, Louisiana, Kyrgyz Republic",UID91959
I want a refund.,Email,2023-12-06 20:29:20,"South Lindseyside, Connecticut, Australia",UID36071
Will recommend to others.,Phone Call,2024-10-14 08:37:16,"North Sarabury, Hawaii, Ireland",UID31174
No complaints.,Facebook,2024-06-07 00:45:58,"Lewisfurt, Arkansas, Chad",UID88504
Customer support was unhelpful.,Facebook,2024-03-16 04:19:49,"South Josephmouth, Maine, Jamaica",UID24662
